time,price,number
Aug 11 2014 01 0,88.094,83
Aug 12 2014 01 0,82.833,86
Aug 13 2014 01 0,85.317,108
Aug 14 2014 01 0,104.278,88
Aug 15 2014 01 0,99.789,106
Aug 16 2014 01 0,101.878,96
Aug 17 2014 01 0,89.076,121
Aug 18 2014 01 0,83.774,90
Aug 19 2014 01 0,88.896,91
Aug 20 2014 01 0,89.784,100
Aug 21 2014 01 0,90.489,77
Aug 22 2014 01 0,89.138,89
Aug 23 2014 01 0,83.691,104
Aug 24 2014 01 0,89.811,103
Aug 25 2014 01 0,92.974,93
Aug 26 2014 01 0,95.531,81
Aug 27 2014 01 0,88.749,98
Aug 28 2014 01 0,86.299,121
Aug 29 2014 01 0,95.353,124
Aug 30 2014 01 0,94.118,117
Aug 31 2014 01 0,87.962,106
Sep 01 2014 01 0,93.986,116
Sep 02 2014 01 0,94.476,92
Sep 03 2014 01 0,99.27,87
Sep 04 2014 01 0,99.84,91
Sep 05 2014 01 0,96.453,94
Sep 06 2014 01 0,96.763,86
Sep 07 2014 01 0,97.263,84
Sep 08 2014 01 0,97.378,91
Sep 09 2014 01 0,93.679,93
Sep 10 2014 01 0,97.74,83
Sep 11 2014 01 0,91.976,86
Sep 12 2014 01 0,88.344,100
Sep 13 2014 01 0,81.679,129
Sep 14 2014 01 0,82.304,108
Sep 15 2014 01 0,88.242,94
Sep 16 2014 01 0,89.357,85
Sep 17 2014 01 0,85.914,106
Sep 18 2014 01 0,91.337,97
Sep 19 2014 01 0,90.317,108
Sep 20 2014 01 0,83.007,120
Sep 21 2014 01 0,84.941,107
Sep 22 2014 01 0,81.87,80
Sep 23 2014 01 0,82.935,81
Sep 24 2014 01 0,80.23,95
Sep 25 2014 01 0,85.877,70
Sep 26 2014 01 0,81.888,116
Sep 27 2014 01 0,79.805,116
Sep 28 2014 01 0,79.325,97
Sep 29 2014 01 0,78.963,93
Sep 30 2014 01 0,78.819,109
Oct 01 2014 01 0,80.378,86
Oct 02 2014 01 0,79.935,111
Oct 03 2014 01 0,83.27,112
Oct 04 2014 01 0,78.772,137
Oct 05 2014 01 0,78.574,125
Oct 06 2014 01 0,78.897,121
Oct 07 2014 01 0,78.422,105
Oct 08 2014 01 0,80.237,114
Oct 09 2014 01 0,77.519,115
Oct 10 2014 01 0,77.717,134
Oct 11 2014 01 0,77.403,126
Oct 12 2014 01 0,77.578,116
Oct 13 2014 01 0,77.953,114
Oct 14 2014 01 0,81.133,88
Oct 15 2014 01 0,81.463,91
Oct 16 2014 01 0,79.272,96
Oct 17 2014 01 0,75.498,124
Oct 18 2014 01 0,70.684,131
Oct 19 2014 01 0,69.8,126
Oct 20 2014 01 0,75.151,111
Oct 21 2014 01 0,76.298,92
Oct 22 2014 01 0,76.868,99
Oct 23 2014 01 0,73.479,106
Oct 24 2014 01 0,76.911,142
Oct 25 2014 01 0,81.536,128
Oct 26 2014 01 0,68.49,153
Oct 27 2014 01 0,69.817,124
Oct 28 2014 01 0,67.715,122
