time,price,number
Aug 11 2014 01 0,42.678,201
Aug 12 2014 01 0,44.317,184
Aug 13 2014 01 0,45.076,195
Aug 14 2014 01 0,49.108,233
Aug 15 2014 01 0,48.919,248
Aug 16 2014 01 0,47.85,239
Aug 17 2014 01 0,40.413,282
Aug 18 2014 01 0,41.152,229
Aug 19 2014 01 0,43.86,208
Aug 20 2014 01 0,43.579,196
Aug 21 2014 01 0,43.746,212
Aug 22 2014 01 0,41.287,258
Aug 23 2014 01 0,42.402,241
Aug 24 2014 01 0,41.447,235
Aug 25 2014 01 0,43.285,252
Aug 26 2014 01 0,44.128,242
Aug 27 2014 01 0,42.797,236
Aug 28 2014 01 0,43.139,236
Aug 29 2014 01 0,45.744,240
Aug 30 2014 01 0,44.617,248
Aug 31 2014 01 0,45.486,222
Sep 01 2014 01 0,47.542,232
Sep 02 2014 01 0,45.674,218
Sep 03 2014 01 0,48.369,206
Sep 04 2014 01 0,48.455,185
Sep 05 2014 01 0,45.028,241
Sep 06 2014 01 0,45.812,223
Sep 07 2014 01 0,44.632,270
Sep 08 2014 01 0,48.342,184
Sep 09 2014 01 0,45.245,226
Sep 10 2014 01 0,46.034,208
Sep 11 2014 01 0,47.768,196
Sep 12 2014 01 0,40.967,256
Sep 13 2014 01 0,40.268,266
Sep 14 2014 01 0,42.415,210
Sep 15 2014 01 0,41.159,224
Sep 16 2014 01 0,42.17,219
Sep 17 2014 01 0,43.197,203
Sep 18 2014 01 0,42.32,225
Sep 19 2014 01 0,41.576,250
Sep 20 2014 01 0,40.414,261
Sep 21 2014 01 0,41.447,206
Sep 22 2014 01 0,40.431,234
Sep 23 2014 01 0,41.233,186
Sep 24 2014 01 0,40.17,218
Sep 25 2014 01 0,41.176,176
Sep 26 2014 01 0,39.233,257
Sep 27 2014 01 0,37.674,310
Sep 28 2014 01 0,40.657,223
Sep 29 2014 01 0,38.421,211
Sep 30 2014 01 0,37.503,239
Oct 01 2014 01 0,38.265,227
Oct 02 2014 01 0,39.494,234
Oct 03 2014 01 0,38.909,257
Oct 04 2014 01 0,38.885,303
Oct 05 2014 01 0,39.02,294
Oct 06 2014 01 0,39.219,245
Oct 07 2014 01 0,40.632,216
Oct 08 2014 01 0,41.345,230
Oct 09 2014 01 0,39.76,239
Oct 10 2014 01 0,38.273,274
Oct 11 2014 01 0,38.47,282
